date,close
20130102,18.365
20130103,18.2125
20130104,18.5825
20130107,18.575001
20130108,18.7875
20130109,18.76
20130110,19.227501
20130111,19.285
20130114,19.620001
20130115,19.612499
20130116,20.0525
20130117,19.91
20130118,21.16
20130122,21.805
20130123,22.372499
20130124,22.24
20130125,22.07
20130128,21.450001
20130129,22.127501
20130130,20.735001
20130131,20.639999
20130201,21.682501
20130204,20.27
20130205,21.15
20130206,21.247499
20130207,21.3225
20130208,21.7325
20130211,22.0375
20130212,22.325001
20130213,22.245001
20130214,22.557501
20130215,22.7325
20130219,23.684999
20130220,21.377501
20130221,21.18
20130222,21.895
20130225,18.834999
20130226,19.155001
20130227,20.377501
20130228,19.780001
20130301,19.475
20130304,20.4825
20130305,21.1425
20130306,21.01
20130307,21.455
20130308,21.737499
20130311,22.647499
20130312,22.247499
20130313,22.372499
20130314,22.7925
20130315,22.8125
20130318,21.6325
20130319,21.5375
20130320,22.752501
20130321,22.07
20130322,22.1425
20130325,22.3475
20130326,22.995001
20130327,22.815001
20130328,22.77
20130401,22.795
20130402,23.514999
20130403,22.6525
20130404,23.0375
20130405,22.9475
20130408,23.5275
20130409,23.855
20130410,24.452499
20130411,24.5875
20130412,25.025
20130415,22.125
20130416,23.112499
20130417,20.610001
20130418,19.5525
20130419,20.842501
20130422,21.41
20130423,22.4475
20130424,22.432501
20130425,22.165001
20130426,22.147499
20130429,22.2675
20130430,22.495001
20130501,21.51
20130502,22.285
20130503,22.762501
20130506,23.1425
20130507,23.325001
20130508,23.1975
20130509,22.754999
20130510,22.967501
20130513,23.1425
20130514,23.317499
20130515,23.157499
20130516,22.907499
20130517,23.514999
20130520,23.195
20130521,23.0275
20130522,22.762501
20130523,22.547501
20130524,22.57
20130528,23.1975
20130529,22.852501
20130530,22.875
20130531,22.025
20130603,22.112499
20130604,21.872499
20130605,20.887501
20130606,21.127501
20130607,22.137501
20130610,22.372499
20130611,20.922501
20130612,19.67
20130613,20.605
20130614,20.075001
20130617,20.372499
20130618,20.690001
20130619,20.6325
20130620,18.3475
20130621,18.9575
20130624,17.8675
20130625,18.33
20130626,18.762501
20130627,19.5075
20130628,19.612499
20130701,20.262501
20130702,19.9175
20130703,20.215
20130705,21.252501
20130708,22.15
20130709,22.627501
20130710,22.834999
20130711,23.487499
20130712,23.252501
20130715,23.7425
20130716,23.094999
20130717,23.860001
20130718,24.254999
20130719,24.772499
20130722,25.355
20130723,25.467501
20130724,25.172501
20130725,25.754999
20130726,25.8125
20130729,25.5175
20130730,25.9575
20130731,26.549999
20130801,27.405001
20130802,28.120001
20130805,28.440001
20130806,27.6
20130807,27.25
20130808,27.6675
20130809,27.309999
20130812,27.422501
20130813,27.737499
20130814,27.42
20130815,26.0275
20130816,26.502501
20130819,25.852501
20130820,26.02
20130821,25.540001
20130822,26.182501
20130823,26.790001
20130826,25.855
20130827,23.74
20130828,23.76
20130829,23.307501
20130830,23.0375
20130903,23.852501
20130904,23.9175
20130905,24.4925
20130906,24.305
20130909,25.202499
20130910,26.120001
20130911,26.9575
20130912,26.5
20130913,26.9825
20130916,27.145
20130917,27.455
20130918,28.514999
20130919,28.625
20130920,28.045
20130923,27.764999
20130924,27.7875
20130925,27.9575
20130926,28.445
20130927,27.299999
20130930,26.285
20131001,27.200001
20131002,26.3825
20131003,25.3675
20131004,25.4625
20131007,23.577499
20131008,22.405001
20131009,23.1875
20131010,25.389999
20131011,25.91
20131014,25.5825
20131015,24.01
20131016,26.860001
20131017,28.452499
20131018,28.5825
20131021,28.43
20131022,28.3825
20131023,28.182501
20131024,28.5725
20131025,28.6875
20131028,28.4725
20131029,28.7225
20131030,28.3475
20131031,28.497499
20131101,28.672501
20131104,29.385
20131105,29.49
20131106,29.945
20131107,28.897499
20131108,30.0625
20131111,30.205
20131112,30.2675
20131113,30.372499
20131114,30.727501
20131115,31.135
20131118,31.09
20131119,30.715
20131120,31.33
20131121,32.407501
20131122,32.849998
20131125,32.715
20131126,32.529999
20131127,32.512501
20131129,32.122501
20131202,31.879999
20131203,31.0525
20131204,31.389999
20131205,31.147499
20131206,32.237499
20131209,32.4725
20131210,32.3125
20131211,30.795
20131212,30.6625
20131213,30.592501
20131216,30.584999
20131217,30.6675
20131218,32.8325
20131219,32.505001
20131220,32.334999
20131223,33.5075
20131224,34.1525
20131226,34.752499
20131227,34.244999
20131230,33.715
20131231,33.735001
20140102,33.057499
20140103,33.2575
20140106,33.654999
20140107,34.442501
20140108,34.384998
20140109,34.294998
20140110,35.099998
20140113,33.8825
20140114,35.232498
20140115,35.119999
20140116,34.9375
20140117,34.877499
20140121,35.272499
20140122,35.814999
20140123,34.845001
20140124,31.695
20140127,30.905001
20140128,32.16
20140129,30.014999
20140130,30.43
20140131,28.129999
20140203,26.110001
20140204,26.535
20140205,25.59
20140206,28.08
20140207,29.76
20140210,29.73
20140211,30.855
20140212,31.48
20140213,31.73
20140214,32.200001
20140218,32.615002
20140219,30.389999
20140220,31.549999
20140221,31.24
20140224,31.459999
20140225,31.440001
20140226,31.025
20140227,31.115
20140228,30.6
20140303,28.865
20140304,30.66
20140305,30.625
20140306,30.85
20140307,30.135
20140310,30.295
20140311,29.865
20140312,29.915001
20140313,28.674999
20140314,27.885
20140317,29.139999
20140318,30.225
20140319,29.639999
20140320,29.84
20140321,29.620001
20140324,29.540001
20140325,29.924999
20140326,29.379999
20140327,29.754999
20140328,30.055
20140331,30.985001
20140401,32.035
20140402,31.809999
20140403,31.855
20140404,31.18
20140407,30.49
20140408,31.045
20140409,31.785
20140410,29.879999
20140411,28.945
20140414,29.184999
20140415,29.51
20140416,30.555
20140417,30.995001
20140421,31.59
20140422,31.674999
20140423,31.51
20140424,31.139999
20140425,30.915001
20140428,31.584999
20140429,32.154999
20140430,32.110001
20140501,32.145
20140502,32.325001
20140505,32.650002
20140506,32.360001
20140507,33.040001
20140508,32.945
20140509,33.674999
20140512,34.645
20140513,34.564999
20140514,34.759998
20140515,34.345001
20140516,35.18
20140519,35.605
20140520,35.915001
20140521,36.439999
20140522,36.474998
20140523,36.755001
20140527,37.889999
20140528,37.994999
20140529,38.130001
20140530,38.195
20140602,38.459999
20140603,38.290001
20140604,38.695
20140605,40.049999
20140606,42.055
20140609,41.5
20140610,42.235001
20140611,41.299999
20140612,39.27
20140613,39.955002
20140616,40.02
20140617,41.330002
20140618,43.59
20140619,43.415001
20140620,42.810001
20140623,43.860001
20140624,42.25
20140625,43.845001
20140626,43.330002
20140627,43.695
20140630,44.134998
20140701,45.255001
20140702,45.705002
20140703,46.349998
20140707,45.349998
20140708,44.634998
20140709,45.52
